TableName,TableDesc,ColumnName,ColumnDesc,ColumnType,IsPK,IsFK,FK
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,SUBMIT_WARDID,identifies the ward from which the request was submitted,INTEGER,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,SUBMIT_CAREUNIT,"indicates whether the SUBMIT_WARDID corresponds to an ICU cost center, and if so, what type of ICU cost center.",STRING,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,CURR_WARDID,identifies the ward in which the patient resides when called out (i.e. prior to discharge/transfer),INTEGER,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,CURR_CAREUNIT,indicates which ICU cost center the CURR_WARDID corresponds to,STRING,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,CALLOUT_WARDID,identifies the ward to which the patient should be discharged,INTEGER,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,CALLOUT_SERVICE,is the service under which the patient should be discharged,STRING,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,REQUEST_TELE,binary indicator which request certain precautions for the patient in the subsequent ward where they will reside.,INTEGER,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,REQUEST_RESP,binary indicator which request certain precautions for the patient in the subsequent ward where they will reside.,INTEGER,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,REQUEST_CDIFF,binary indicator which request certain precautions for the patient in the subsequent ward where they will reside.,INTEGER,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,REQUEST_MRSA,binary indicator which request certain precautions for the patient in the subsequent ward where they will reside.,INTEGER,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,REQUEST_VRE,binary indicator which request certain precautions for the patient in the subsequent ward where they will reside.,INTEGER,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,CALLOUT_STATUS,indicates whether the call out is still active or not.,STRING,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,CALLOUT_OUTCOME,indicating whether the patient finally called out (i.e. discharged) or not.,STRING,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,DISCHARGE_WARDID,indicates the ward to which the patient was actually discharged.,INTEGER,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,ACKNOWLEDGE_STATUS,indicates the response to the callout event,STRING,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,CREATETIME,provides the time and date that the call out was initiated.,TIMESTAMP,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,UPDATETIME,provides the last time at which the call out event was updated.,TIMESTAMP,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,ACKNOWLEDGETIME,is the time at which the call out was first acknowledged.,TIMESTAMP,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,OUTCOMETIME,is the time at which the CALLOUT_OUTCOME occurred.,TIMESTAMP,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,FIRSTRESERVATIONTIME,provide information regarding ward reservations.,TIMESTAMP,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,CURRENTRESERVATIONTIME,provide information regarding ward reservations.,TIMESTAMP,NO,NO,
